Company Name,Sector,Ticker,MarketCap,MarketCap2,,3M India Ltd.,3M India Ltd.,"18,450",-1.16%,"21,028","25,209","15,686",19.53,96.03,10.14,39.57
Gillette India Ltd.,CONSUMER GOODS,GILLETTE,,16932,,Capri Global Capital Ltd.,Not Good,175.3,-0.06%,"3,073",230,115,10.32,19.06,2,-
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO,,24854,,Add to ,,,,,,,,,,
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,,12280,,Carborundum Universal Ltd.,Very Good,269,-1.52%,"5,174",379,175,14.85,18.99,2.79,11.59
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,,5120,,Add to ,,,,,,,,,,
Godrej Agrovet Ltd.,CONSUMER GOODS,GODREJAGRO,,8359,,Care Ratings Ltd.,Somewhat,411.6,-0.08%,"1,214",938,236.4,21.68,15.07,2.28,5.89
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,,71255,,Add to ,Good,,,,,,,,,
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND,,13498,,Castrol India Ltd.,Very Good,121.3,-2.06%,"12,250",162.1,89.65,65.56,15.96,8.32,9.76
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,,21868,,Add to ,,,,,,,,,,
Granules India Ltd.,PHARMA,GRANULES,,5282,,CCL Products (India) Ltd.,Somewhat,239.9,0.63%,"3,171",258.9,137.2,20.71,13.27,4,20.37
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,,3691,,Add to ,Good,,,,,,,,,
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,,40649,,Ceat Ltd.,Somewhat,926.5,0.94%,"3,713","1,101",601.5,12.27,13.71,1.27,7.59
Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP,,500,,Add to ,Good,,,,,,,,,
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,,2000,,Central Bank Of India,Not Good,17.65,-0.84%,"10,163",25.8,10.2,-36.73,0,0.55,-
Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,GRINDWELL,,5420,,Add to ,,,,,,,,,,
