Company Name,Sector,Ticker,MarketCap,MarketCap2,,3M India Ltd.,3M India Ltd.,"18,450",-1.16%,"21,028","25,209","15,686",19.53,96.03,10.14,39.57
,,,,,,Minda Corporation Ltd.,Somewhat,70.8,-4.32%,"1,681",122,52.6,16.33,12.09,1.32,6.79
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Minda Industries Ltd.,Somewhat,285.8,5.75%,"7,085",425.9,209.3,18.34,45.73,3.9,10.92
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Mindtree Ltd.,Very Good,945.6,0.86%,"15,430","1,062",652.5,19.68,24.46,4.9,12.98
,,,,,,Add to ,,,,,,,,,,
,,,,,,Mishra Dhatu Nigam Ltd.,NA,213.2,-0.40%,"4,011",278,108.5,0,0,0,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,MMTC Ltd.,Not Good,17.3,0.87%,"2,573",26.5,9.9,6.59,45.92,1.73,17.94
,,,,,,Add to ,,,,,,,,,,
,,,,,,MOIL Ltd.,Somewhat,149.9,-2.34%,"3,644",170,86.8,16.25,14.68,1.32,2.11
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Motherson Sumi Systems Ltd.,Somewhat,98.1,-5.35%,"32,732",151,48.5,15.08,27.98,3.1,7.61
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Motilal Oswal Financial Services Ltd.,Very Good,600.1,0.16%,"8,884",903.5,426,12.86,45.14,3.21,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Mphasis Ltd.,Somewhat,887.5,1.99%,"16,233",999.6,612,20,13.7,2.81,8.91
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,MRF Ltd.,Very Good,"66,117",0.06%,"28,025","73,500","50,000",9.64,20.09,2.33,11.78
,,,,,,Add to ,,,,,,,,,,
,,,,,,Multi Commodity Exchange Of India Ltd.,Very Good,"1,287",0.75%,"6,516","1,442",779,9.04,31.25,4.21,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Muthoot Finance Ltd.,Very Good,"1,146",3.40%,"44,461","1,284",477.5,22.45,14.73,3.84,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Narayana Hrudayalaya Ltd.,Very Good,275.1,2.55%,"5,483",389,201.3,5.5,46.11,4.83,20.92
,,,,,,Add to ,,,,,,,,,,
,,,,,,Natco Pharma Ltd.,NA,663,3.68%,"11,643",737.8,450,19.14,24.54,3.01,14.25
,,,,,,Add to ,,,,,,,,,,
,,,,,,National Aluminium Company Ltd.,Not Good,32.45,-1.07%,"6,119",51.5,24.45,16.46,44.27,0.61,0.9
,,,,,,Add to ,,,,,,,,,,
,,,,,,National Fertilizers Ltd.,Not Good,30.8,-2.53%,"1,550",40.45,15,13.96,10.39,0.69,9.66
,,,,,,Add to ,,,,,,,,,,
,,,,,,Nava Bharat Ventures Ltd.,Somewhat,53.4,-1.02%,942,101.7,32.4,5.54,7.19,0.32,4.75
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Navin Fluorine International Ltd.,Somewhat,"1,679",-0.25%,"8,330","1,729",570.2,14.91,20.83,6,36.55
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,NBCC (India) Ltd.,Somewhat,24.4,-1.41%,"4,455",62.35,14.1,22.63,24.2,3.03,7.61
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,NCC Ltd.,Somewhat,30.45,-0.65%,"1,869",99.45,15.9,13.08,4.89,0.37,2.5
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Nesco Ltd.,Very Good,431.6,-1.18%,"3,078",816.9,381.1,16.56,13.16,2.27,13.18
,,,,,,Add to ,,,,,,,,,,
,,,,,,Nestle India Ltd.,Very Good,"16,690",-0.55%,"1,61,805","18,301","11,271",70.25,79.64,65.84,55.71
,,,,,,Add to ,,,,,,,,,,
,,,,,,Network 18 Media & Investment Ltd.,Not Good,40.9,-1.45%,"4,345",49.65,14.85,-16.69,0,3.7,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,NHPC Ltd.,Somewhat,20.65,1.72%,"20,391",29,15.15,8.52,6.55,0.65,7.31
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,NIIT Technologies Ltd.,Somewhat,"1,421",0.45%,"8,838","2,057",739,21.03,19.9,3.69,12.19
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Nilkamal Ltd.,Somewhat,"1,135",-0.36%,"1,700","1,544",890.5,12.58,11.97,1.65,8.05
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Nippon Life India Asset Management Ltd.,Somewhat,313.6,-1.09%,"19,410",452.9,201,16.09,46.74,7.67,31.65
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,NLC India Ltd.,Somewhat,46,1.32%,"6,295",72.5,35.05,10.01,4.45,0.5,15.85
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,NMDC Ltd.,Somewhat,82.55,1.10%,"25,000",139.5,62,18.31,7,0.9,3
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,NTPC Ltd.,Somewhat,94.35,1.07%,"92,366",144.2,74,11.42,17.48,0.81,12.17
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Oberoi Realty Ltd.,Somewhat,359.6,-0.11%,"13,092",641.7,290.1,8.58,39.55,2.1,24.01
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Oil & Natural Gas Corporation Ltd.,Very Good,82.4,0.61%,"1,03,032",168.8,51.8,13.65,7.66,0.53,3.77
,,,,,,Add to ,,,,,,,,,,
,,,,,,Oil India Ltd.,Not Good,97.3,1.99%,"10,345",179.3,66,13.42,4,0.42,2.56
,,,,,,Add to ,,,,,,,,,,
,,,,,,Omaxe Ltd.,Not Good,103,-9.97%,"2,092",222.2,103,1.29,72.53,1.31,24.56
,,,,,,Add to ,,,,,,,,,,
,,,,,,Oracle Financial Services Software Ltd.,Very Good,"2,865",0.26%,"24,564","3,422","1,533",28.41,16.8,3.74,10.44
,,,,,,Add to ,,,,,,,,,,
,,,,,,Orient Cement Ltd.,Not Good,70.1,-0.92%,"1,449",112.7,35.25,0,0,0,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Orient Electric Ltd.,Very Good,192.5,-2.16%,"4,175",286.4,138.2,24.73,53.1,11.62,29.87
,,,,,,Add to ,,,,,,,,,,
,,,,,,Orient Refractories Ltd.,Very Good,170.3,-3.40%,"2,118",268.5,108.5,24.49,24.28,4.96,15.38
,,,,,,Add to ,,,,,,,,,,
,,,,,,Page Industries Ltd.,Very Good,"20,609",1.66%,"22,612","26,891","16,187",47.31,65.88,27.58,36.63
,,,,,,Add to ,,,,,,,,,,
,,,,,,Parag Milk Foods Ltd.,Somewhat,95.75,-1.03%,814,276.1,48.5,15.71,8.69,0.89,4.64
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,PC Jeweller Ltd.,Somewhat,16.7,-2.05%,673,44.9,7.8,-0.36,8.58,0.17,8.7
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Persistent Systems Ltd.,Very Good,641.2,-0.27%,"4,914",739.9,420,12.49,14.44,2.09,8.07
,,,,,,Add to ,,,,,,,,,,
,,,,,,Petronet LNG Ltd.,Very Good,272.9,4.42%,"39,203",302,170.8,20.47,14.53,3.58,10.66
,,,,,,Add to ,,,,,,,,,,
,,,,,,Pfizer Ltd.,Very Good,"4,124",-1.33%,"19,120","5,173","2,798",14.37,37.55,5.63,30.29
,,,,,,Add to ,,,,,,,,,,
,,,,,,Phillips Carbon Black Ltd.,Not Good,108.5,8.13%,"1,729",147.4,54.2,25.11,6.1,1.02,3.77
,,,,,,Add to ,,,,,,,,,,
,,,,,,Phoenix Mills Ltd.,Somewhat,563.5,2.67%,"8,423",979.5,466.2,11.73,25.16,2.27,12.18
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,PI Industries Ltd.,Very Good,"1,576",0.87%,"21,581","1,688",973.7,18.37,47.27,8.24,36.96
,,,,,,Add to ,,,,,,,,,,
,,,,,,Pidilite Industries Ltd.,Very Good,"1,390",0.09%,"70,553","1,710","1,169",22.52,63.2,15.83,50.29
,,,,,,Add to ,,,,,,,,,,
,,,,,,Piramal Enterprises Ltd.,Very Good,"1,411",1.61%,"31,330","2,050",608,6.87,0,1.02,11.69
,,,,,,Add to ,,,,,,,,,,
,,,,,,PNB Housing Finance Ltd.,Somewhat,210.1,-1.22%,"3,576",803,146,16.99,5.53,0.45,-
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,PNC Infratech Ltd.,Somewhat,156.4,4.93%,"3,825",214.8,80.85,18.38,6.96,1.5,5.9
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Polycab India Ltd.,Somewhat,844.6,0.43%,"12,528","1,180",525,23.33,16.5,3.29,10.62
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Power Finance Corporation Ltd.,Very Good,84.25,-0.82%,"22,427",135.2,74.2,17.33,3.97,0.5,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Power Grid Corporation Of India Ltd.,Very Good,177.7,1.54%,"91,553",216.2,129.8,20.75,10.03,1.42,7.9
,,,,,,Add to ,,,,,,,,,,
,,,,,,Praj Industries Ltd.,Somewhat,63.75,-1.62%,"1,187",144.5,43,8.73,16.85,1.65,11.31
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Prestige Estate Projects Ltd.,Somewhat,204.9,1.97%,"8,057",426.1,133.8,6.14,30.71,1.53,19.43
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Prism Johnson Ltd.,Not Good,44.1,-3.71%,"2,305",96.3,25.8,14.32,40.84,2.05,6.62
,,,,,,Add to ,,,,,,,,,,
,,,,,,Procter & Gamble Health Ltd.,Very Good,"4,065",0.19%,"6,736","5,121","2,928",73.32,40.94,7.8,38.1
,,,,,,Add to ,,,,,,,,,,
,,,,,,Procter & Gamble Hygiene & Health Care Ltd.,Very Good,"10,351",1.07%,"33,244","12,700","8,500",49.37,78.28,30.58,53.17
,,,,,,Add to ,,,,,,,,,,
,,,,,,PTC India Ltd.,Somewhat,49.15,0.00%,"1,455",68.45,32.4,7.97,4.54,0.41,5.63
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Punjab National Bank,Not Good,35.95,-0.83%,"34,114",83.35,26.3,-25.24,77.8,0.78,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,PVR Ltd.,Somewhat,"1,033",1.69%,"5,214","2,121",719.5,15.35,172.87,3.56,12.22
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Quess Corp Ltd.,Very Good,346.8,-4.62%,"5,365",639,165.4,9.62,0,2.36,11.85
,,,,,,Add to ,,,,,,,,,,
,,,,,,Radico Khaitan Ltd.,Somewhat,369.3,-0.97%,"4,979",439,220,15.45,21.89,3.27,15
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Rail Vikas Nigam Ltd.,Somewhat,19.9,-1.73%,"4,222",29.3,10.2,16.74,6.05,0.85,11.87
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Rain Industries Ltd.,Somewhat,80.95,2.08%,"2,667",128.9,44.9,7.89,6.22,0.53,6.32
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Rajesh Exports Ltd.,Not Good,483.5,2.80%,"13,888",802,462,10.18,34.44,2.81,7.45
,,,,,,Add to ,,,,,,,,,,
,,,,,,Rallis India Ltd.,Somewhat,272.9,0.42%,"5,286",279,127.1,13.47,28.6,3.75,18.04
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Rashtriya Chemicals & Fertilizers Ltd.,Somewhat,46.4,-0.64%,"2,576",64.7,22.05,4.65,12.38,0.81,14.4
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Ratnamani Metals & Tubes Ltd.,Somewhat,"1,062",1.17%,"4,906","1,384",715.5,16.49,15.96,2.87,11.39
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Raymond Ltd.,Not Good,270.1,-2.30%,"1,892",838,209.5,9.11,9.65,0.76,6.76
,,,,,,Add to ,,,,,,,,,,
,,,,,,RBL Bank Ltd.,Somewhat,173.5,-2.23%,"9,028",662.5,101.6,5.58,17.85,0.85,-
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,REC Ltd.,Very Good,108.3,-0.18%,"21,428",169.6,79,17.31,4.39,0.61,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Redington (India) Ltd.,Somewhat,89.05,-1.11%,"3,504",139.8,60,9.43,7.16,1.94,12.65
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Relaxo Footwears Ltd.,Very Good,655.9,3.93%,"15,667",830.1,395.6,18.39,69.25,12.31,48.1
,,,,,,Add to ,,,,,,,,,,
,,,,,,Reliance Capital Ltd.,Not Good,13.31,-5.00%,354,66.35,3.7,-89.42,0,0.11,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Reliance Industries Ltd.,Somewhat,"1,788",1.53%,"11,90,490","1,804",867.5,9.85,30.25,2.35,16.04
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Reliance Infrastructure Ltd.,Not Good,40.5,-4.93%,"1,120",56.55,8.65,7.21,1.09,0.11,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Reliance Power Ltd.,Not Good,4.75,-4.81%,"1,400",5.23,1,-9.92,0,0.12,9.75
,,,,,,Add to ,,,,,,,,,,
,,,,,,Repco Home Finance Ltd.,Not Good,123.2,-2.03%,787,382,90.75,16.55,2.77,0.45,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Responsive Industries Ltd.,NA,86.25,6.81%,"2,155",104.8,67.9,3.12,101.02,3.21,20.97
,,,,,,Add to ,,,,,,,,,,
,,,,,,Rites Ltd.,Somewhat,262.5,-2.00%,"6,696",331,191,19.74,10.87,2.54,5.61
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Sadbhav Engineering Ltd.,Very Good,45.55,-0.98%,789,244.5,23.4,9.55,7.45,0.38,5.41
,,,,,,Add to ,,,,,,,,,,
,,,,,,Sanofi India Ltd.,Very Good,"7,798",-0.85%,"18,112","8,528","5,610",19.56,44.53,7.29,25.45
,,,,,,Add to ,,,,,,,,,,
,,,,,,SBI Life Insurance Company Ltd.,Very Good,844,3.74%,"81,368","1,030",520,0,0,0,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Schaeffler India Ltd.,Very Good,"3,658",3.68%,"11,030","4,950","3,044",13.61,32.46,3.63,15.44
,,,,,,Add to ,,,,,,,,,,
,,,,,,Security And Intelligence Services India Ltd.,Somewhat,383.6,0.13%,"5,619",624.1,323.9,15.1,24.92,4.12,11.95
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,SH Kelkar & Co Ltd.,Somewhat,67.65,-0.51%,961,147.9,47.6,10.04,26.93,1.17,9.26
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Sheela Foam Ltd.,Very Good,"1,448",0.97%,"6,998","1,770","1,084",19.29,42.28,8.43,36.6
,,,,,,Add to ,,,,,,,,,,
,,,,,,Shilpa Medicare Ltd.,Very Good,471.2,1.60%,"3,781",591.8,190.8,8.33,24.21,2.84,25.13
,,,,,,Add to ,,,,,,,,,,
,,,,,,Shoppers Stop Ltd.,Very Good,168,0.06%,"1,477",507,131.3,8.15,0,10.81,5.41
,,,,,,Add to ,,,,,,,,,,
,,,,,,Shree Cement Ltd.,Very Good,"22,886",0.58%,"82,102","25,341","15,500",13.6,52.29,6.35,22.33
,,,,,,Add to ,,,,,,,,,,
,,,,,,Shree Renuka Sugars Ltd.,Not Good,10.72,-4.96%,"2,162",12.45,3.2,-54.49,0,-2.37,21
,,,,,,Add to ,,,,,,,,,,
,,,,,,Shriram City Union Finance Ltd.,Very Good,677.4,-1.29%,"4,529","1,572",617,16.56,4.12,0.64,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Shriram Transport Finance Company Ltd.,Very Good,695.9,-0.29%,"15,834","1,367",440,17.29,6.3,0.87,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Siemens Ltd.,Very Good,"1,149",4.98%,"38,960","1,717",947,11.5,38.44,4.27,23.9
,,,,,,Add to ,,,,,,,,,,
,,,,,,SJVN Ltd.,Somewhat,22,1.15%,"8,547",27.5,17.15,12.7,5.17,0.73,3.85
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,SKF India Ltd.,Very Good,"1,701",2.10%,"8,235","2,313","1,238",15.29,28.5,4.32,20.32
,,,,,,Add to ,,,,,,,,,,
,,,,,,Sobha Ltd.,Somewhat,222.8,-0.16%,"2,117",588,117.9,12.2,7.31,0.93,6.95
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Solar Industries (India) Ltd.,Very Good,"1,003",1.59%,"8,938","1,350",772,24.11,39.37,9.14,28.36
,,,,,,Add to ,,,,,,,,,,
,,,,,,Sonata Software Ltd.,Somewhat,238.1,0.51%,"2,491",361.8,148.1,32.7,11.79,6.67,10.17
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Spandana Sphoorty Financial Ltd.,NA,549.4,-0.49%,"3,551","1,400",403.5,29.28,10.1,1.35,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Spicejet Ltd.,Not Good,50.2,-0.50%,"3,027",152.6,30.8,116.4,0,-6.25,40.47
,,,,,,Add to ,,,,,,,,,,
,,,,,,SRF Ltd.,Somewhat,"3,644",-0.28%,"21,026","4,259","2,492",14.18,26.49,4.49,20.34
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Star Cement Ltd.,Somewhat,90.35,2.67%,"3,629",122.5,56,18.67,12.71,1.95,7.77
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,State Bank Of India,Very Good,184.8,-0.38%,"1,65,507",373.7,149.6,7.16,11.42,0.79,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Steel Authority Of India Ltd.,Somewhat,30.9,-1.12%,"12,908",52.6,20.15,7.03,0,0.35,5.82
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Sterling and Wilson Solar Ltd.,NA,222.7,1.74%,"3,509",755.5,69.75,119.17,11.32,3.25,7.44
,,,,,,Add to ,,,,,,,,,,
,,,,,,Sterlite Technologies Ltd.,Somewhat,128.1,0.71%,"5,136",179.9,59.8,40.17,11.85,2.84,6.38
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Strides Pharma Science Ltd.,Not Good,413.1,0.04%,"3,699",547.4,271,3.69,33.12,1.17,27.67
,,,,,,Add to ,,,,,,,,,,
,,,,,,Sudarshan Chemical Industries Ltd.,Very Good,387.4,-0.73%,"2,702",505.9,286.2,16.87,18.69,4.5,14.46
,,,,,,Add to ,,,,,,,,,,
,,,,,,Sun Pharma Advanced Research Company Ltd.,Not Good,157.7,-0.82%,"4,167",210.7,81,-60.03,0,-264.47,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Sun Pharmaceutical Industries Ltd.,Very Good,476.9,0.79%,"1,13,525",512.5,315.2,8.79,30.15,2.51,17.53
,,,,,,Add to ,,,,,,,,,,
,,,,,,Sun TV Network Ltd.,Somewhat,399.8,-0.35%,"15,809",551,259.8,26.73,11.52,2.81,5.2
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Sundaram Finance Ltd.,Very Good,"1,409",-0.21%,"15,685","1,781","1,020",24.56,21.67,2.83,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Sundaram-Clayton Ltd.,Very Good,"1,706",1.38%,"3,405","2,400",970.5,19.46,10.1,1.38,5.59
,,,,,,Add to ,,,,,,,,,,
,,,,,,Sundram Fasteners Ltd.,Very Good,390.6,2.76%,"7,988",533,249,26.12,24.59,4,11.17
,,,,,,Add to ,,,,,,,,,,
,,,,,,Sunteck Realty Ltd.,Not Good,181.4,2.69%,"2,586",487.4,145,10.15,20.55,1.33,12.97
,,,,,,Add to ,,,,,,,,,,
,,,,,,Suprajit Engineering Ltd.,Very Good,152.4,2.14%,"2,088",220,100,15.84,20.08,2.45,9.58
,,,,,,Add to ,,,,,,,,,,
,,,,,,Supreme Industries Ltd.,Very Good,"1,135",-0.32%,"14,459","1,414",791.1,24.88,29.13,6.78,17.03
,,,,,,Add to ,,,,,,,,,,
,,,,,,Suzlon Energy Ltd.,Not Good,5.9,4.98%,"3,775",5.9,1.65,220.24,0,-0.42,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Swan Energy Ltd.,Somewhat,140.2,-0.39%,"3,439",154.6,97,-0.69,0,3.58,79.1
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Symphony Ltd.,Very Good,900.5,-1.00%,"6,363","1,407",690,13.84,34.96,9.96,46.83
,,,,,,Add to ,,,,,,,,,,
,,,,,,Syngene International Ltd.,Very Good,437.2,7.62%,"16,250",443,201.7,16.88,39.49,7.61,26.43
,,,,,,Add to ,,,,,,,,,,
,,,,,,Take Solutions Ltd.,Somewhat,48.5,-1.32%,727,137.9,37.15,0.73,29.15,0.93,-
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Tasty Bite Eatables Ltd.,Very Good,"13,057",1.77%,"3,292","13,297","7,443",0,0,0,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,Tata Consultancy Services Ltd.,Very Good,"2,199",1.88%,"8,09,896","2,296","1,504",36.47,25.04,9.72,18.38
,,,,,,Add to ,,,,,,,,,,
,,,,,,Tata Consumer Products Ltd.,Somewhat,396.4,1.36%,"35,826",407.9,214,7.17,68.43,3.31,42.49
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Tata Elxsi Ltd.,Very Good,910.7,-0.02%,"5,672","1,099",501,24.31,22.15,5.2,14.72
,,,,,,Add to ,,,,,,,,,,
,,,,,,Tata Investment Corporation Ltd.,Somewhat,761.4,1.22%,"3,806","1,025",592.1,1.5,32.08,0.48,-
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Tata Motors - DVR Ordinary-,Somewhat,41.45,0.97%,-,84.4,28.35,0,0,0,-
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Tata Motors Ltd.,Somewhat,103.5,1.87%,"31,369",201.8,63.6,-11.41,0,0.5,3.93
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Tata Power Company Ltd.,Somewhat,49.95,0.20%,"13,483",74.05,27,6.11,13.25,0.75,10.06
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Tata Steel BSL Ltd.,Not Good,20.3,-1.93%,"2,263",32.55,15.25,10.04,0,0.13,4.48
,,,,,,Add to ,,,,,,,,,,
,,,,,,Tata Steel Ltd.,Somewhat,329.9,-1.49%,"40,332",505.9,250.9,15.3,5.98,0.54,3.33
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,TCI Express Ltd.,Very Good,660.2,0.73%,"2,514",950.5,491,0,0,0,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,TCNS Clothing Co Ltd.,Somewhat,348.4,-2.16%,"2,189",818,300.4,0,0,0,-
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,TeamLease Services Ltd.,Very Good,"1,709",3.02%,"2,836","3,192","1,421",19.99,81.08,4.96,28.76
,,,,,,Add to ,,,,,,,,,,
,,,,,,Tech Mahindra Ltd.,Very Good,567,1.11%,"54,178",845.7,470.2,19.78,13.43,2.48,7.45
,,,,,,Add to ,,,,,,,,,,
,,,,,,Techno Electric & Engineering Company Ltd.,Somewhat,188.1,1.46%,"2,039",320.7,170,12.44,9.98,1.39,6.27
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,The Federal Bank Ltd.,Somewhat,53,-1.03%,"10,677",110.2,35.7,10.97,6.79,0.72,-
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,The Great Eastern Shipping Company Ltd.,Not Good,212.7,0.16%,"3,121",369.4,168.9,-0.4,11.12,0.62,6.42
,,,,,,Add to ,,,,,,,,,,
,,,,,,The India Cements Ltd.,Not Good,125.2,-0.48%,"3,900",140,67.9,1.16,0,0.72,11.3
,,,,,,Add to ,,,,,,,,,,
,,,,,,The Indian Hotels Company Ltd.,Somewhat,80.25,1.07%,"9,443",162.9,62.1,6.36,23.52,2.06,14.99
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,The Jammu & Kashmir Bank Ltd.,Not Good,17.35,-3.61%,"1,284",53.2,11.05,8.04,0,1.2,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,The Karnataka Bank Ltd.,Somewhat,42.15,-1.06%,"1,324",96.27,34.2,7.94,3.07,0.24,-
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,The Lakshmi Vilas Bank Ltd.,Not Good,22.15,4.98%,710,73.75,10.45,-46.35,0,0.74,-
,,,,,,Add to ,,,,,,,,,,
,,,,,,The New India Assurance Co. Ltd.,Somewhat,119.1,-1.24%,"19,875",179.1,75,0,0,1.13,-
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,The Ramco Cements Ltd.,Very Good,641,-1.22%,"15,287",883.3,456.5,11.89,25.43,3.11,16.19
,,,,,,Add to ,,,,,,,,,,
,,,,,,The South Indian Bank Ltd.,Somewhat,8.13,0.37%,"1,466",13.4,4.85,4.9,14.02,0.28,-
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Thermax Ltd.,Very Good,766,1.54%,"8,989","1,180",644,14.53,42.31,2.97,16.25
,,,,,,Add to ,,,,,,,,,,
,,,,,,Thyrocare Technologies Ltd.,Very Good,510.9,-0.20%,"2,705",689.5,406.6,18.59,30.6,7.38,17.01
,,,,,,Add to ,,,,,,,,,,
,,,,,,Time Technoplast Ltd.,Somewhat,39.45,5.48%,846,95.7,22.75,9.66,8.65,0.59,4.62
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Timken India Ltd.,Very Good,992.6,-1.88%,"7,610","1,101",629,14.39,30.92,4.83,25.75
,,,,,,Add to ,,,,,,,,,,
,,,,,,Titan Company Ltd.,Very Good,"1,003",1.71%,"87,567","1,390",720,25.08,57.7,12.83,44.34
,,,,,,Add to ,,,,,,,,,,
,,,,,,Torrent Pharmaceuticals Ltd.,Very Good,"2,395",1.86%,"39,780","2,679","1,453",14.11,38.81,8.25,22.52
,,,,,,Add to ,,,,,,,,,,
,,,,,,Torrent Power Ltd.,Somewhat,328.5,1.33%,"15,582",348.9,239.7,10.59,12.58,1.7,7.81
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,Trent Ltd.,Very Good,619.4,1.28%,"21,740",804,367.6,7.7,140.64,8.7,84.98
,,,,,,Add to ,,,,,,,,,,
,,,,,,Trident Ltd.,Not Good,6.87,-0.15%,"3,506",8.45,3.05,10.8,10.32,1.16,6.17
,,,,,,Add to ,,,,,,,,,,
,,,,,,Triveni Turbine Ltd.,Very Good,73.4,5.31%,"2,253",115,45.9,18.43,20.47,4.52,15.66
,,,,,,Add to ,,,,,,,,,,
,,,,,,TTK Prestige Ltd.,Very Good,"5,496",-0.33%,"7,658","7,051","3,918",17.63,38.58,5.9,25.64
,,,,,,Add to ,,,,,,,,,,
,,,,,,Tube Investments of India Ltd.,Very Good,442.2,-0.53%,"8,355",577,255,18.02,27.27,4.84,14.69
,,,,,,Add to ,,,,,,,,,,
,,,,,,TV Today Network Ltd.,Somewhat,188.9,-0.63%,"1,135",345.4,128.3,17.06,7.98,1.3,4.19
,,,,,,Add to ,Good,,,,,,,,,
,,,,,,TV18 Broadcast Ltd.,Not Good,35.05,-0.28%,"6,026",41,11.85,3.4,276.93,2.17,81.26
,,,,,,Add to ,,,,,,,,,,
,,,,,,TVS Motor Company Ltd.,Very Good,395.3,2.53%,"18,317",503,240.1,22.05,30.93,5.06,13.5
,,,,,,Add to ,,,,,,,,,,
,,,,,,UCO Bank,Not Good,14.42,-1.90%,"14,580",22.2,8.4,-45.68,0,0.86,-
,,,,,,Add to ,,,,,,,,,,
