Company Name,Sector,Ticker,MarketCap
Kajaria Ceramics Ltd.,CONSTRUCTION,KAJARIACER,6319
Kalpataru Power Transmission Ltd.,POWER,KALPATPOWR,3458
Kansai Nerolac Paints Ltd.,CONSUMER GOODS,KANSAINER,24850
Karnataka Bank Ltd.,FINANCIAL SERVICES,KTKBANK,500
Karur Vysya Bank Ltd.,FINANCIAL SERVICES,KARURVYSYA,2758
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL,3664
Kec International Ltd.,CONSTRUCTION,KEC,7001
Kolte-Patil Developers Ltd.,CONSTRUCTION,KOLTEPATIL,500
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,267465
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH,13874
L&T Technology Services Ltd.,IT,LTTS,13564
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,14239
La Opala RG Ltd.,CONSUMER GOODS,LAOPALA,500
Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,LAXMIMACH,3021
Larsen & Toubro Infotech Ltd.,IT,LTI,34238
Larsen & Toubro Ltd.,CONSTRUCTION,LT,132067
Laurus Labs Ltd.,PHARMA,LAURUSLABS,5616
Lemon Tree Hotels Ltd.,SERVICES,LEMONTREE,1866
Linde India Ltd.,CHEMICALS,LINDEINDIA,5337
Lupin Ltd.,PHARMA,LUPIN,40552
Lux Industries Ltd.,TEXTILES,LUXIND,2893
MAS Financial Services Ltd.,FINANCIAL SERVICES,MASFIN,3386
MMTC Ltd.,SERVICES,MMTC,2573
MOIL Ltd.,METALS,MOIL,3644
MRF Ltd.,AUTOMOBILE,MRF,28025
Mahanagar Gas Ltd.,OIL & GAS,MGL,10355
Maharashtra Scooters Ltd.,AUTOMOBILE,MAHSCOOTER,2881
Maharashtra Seamless Ltd.,METALS,MAHSEAMLES,1521
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,11429
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,65861
Mahindra CIE Automotive Ltd.,INDUSTRIAL MANUFACTURING,MAHINDCIE,4423
Mahindra Holidays & Resorts India Ltd.,SERVICES,MHRIL,2375
Mahindra Logistics Ltd.,SERVICES,MAHLOG,2001
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,13476
Mangalore Refinery & Petrochemicals Ltd.,OIL & GAS,MRPL,6563
Marico Ltd.,CONSUMER GOODS,MARICO,46162
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,179691
Max Financial Services Ltd.,FINANCIAL SERVICES,MFSL,14707
Metropolis Healthcare Ltd.,HEALTHCARE SERVICES,METROPOLIS,6865
MindTree Ltd.,IT,MINDTREE,15430
Minda Corporation Ltd.,AUTOMOBILE,MINDACORP,1681
Minda Industries Ltd.,AUTOMOBILE,MINDAIND,7085
Mishra Dhatu Nigam Ltd.,METALS,MIDHANI,4011
Motherson Sumi Systems Ltd.,AUTOMOBILE,MOTHERSUMI,32732
Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,MOTILALOFS,8884
MphasiS Ltd.,IT,MPHASIS,16233
Multi Commodity Exchange of India Ltd.,FINANCIAL SERVICES,MCX,6516
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,44461
NATCO Pharma Ltd.,PHARMA,NATCOPHARM,11643
NBCC (India) Ltd.,CONSTRUCTION,NBCC,4455
